adm1,population_2006,population_2019
Abia,2845380,3841943
Adamawa,3178950,4536948
Akwa Ibom,3902051,4780581
Anambra,4177828,5599910
Bauchi,4653066,7540663
Bayelsa,1704515,2394725
Benue,4253641,5787706
Borno,4171104,5751590
Cross River,2892988,4175020
Delta,4112445,5307543
Ebonyi,2176947,3007155
Edo,3233366,4461137
Ekiti,2398957,3350401
Enugu,3267837,4396098
Federal Capital Territory,1406239,2702443
Gombe,2365040,3623462
Imo,3927563,5167722
Jigawa,4361002,6779080
Kaduna,6113503,8324285
Kano,9401288,14253549
Katsina,5801584,9300382
Kebbi,3256541,5001610
Kogi,3314043,4153734
Kwara,2365353,3259613
Lagos,9113605,12772884
Nasarawa,1869377,2632239
Niger,3954772,6220617
Ogun,3751140,5945275
Ondo,3460877,4969707
Osun,3416959,4237396
Oyo,5580894,7512855
Plateau,3206531,4400974
Rivers,5198716,7034973
Sokoto,3702676,5863187
Taraba,2294800,3331885
Yobe,2321339,3398177
Zamfara,3278873,5317793
